,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
50,2024-04-02,157.6236408564526,151.76015540167242,163.34908392379893,157.6236408564526,157.6236408564526,-0.21071886519505756,-0.21071886519505756,-0.21071886519505756,-0.21071886519505756,-0.21071886519505756,-0.21071886519505756,0.0,0.0,0.0,157.41292199125755
51,2024-04-03,157.95255369163542,151.38568993626643,163.42366900619447,157.95255369163542,157.95255369163542,-0.5567098169667583,-0.5567098169667583,-0.5567098169667583,-0.5567098169667583,-0.5567098169667583,-0.5567098169667583,0.0,0.0,0.0,157.39584387466866
52,2024-04-04,158.2814665268182,151.82817729221944,163.90885912406307,158.2814665268182,158.2814665268182,-0.28192510268714405,-0.28192510268714405,-0.28192510268714405,-0.28192510268714405,-0.28192510268714405,-0.28192510268714405,0.0,0.0,0.0,157.99954142413105
53,2024-04-05,158.610379362001,152.42276215092414,164.40868024494364,158.610379362001,158.610379362001,0.08475579026484982,0.08475579026484982,0.08475579026484982,0.08475579026484982,0.08475579026484982,0.08475579026484982,0.0,0.0,0.0,158.69513515226583
54,2024-04-08,159.59711786754946,153.8784300035319,165.7908525396611,159.59711786754946,159.59711786754946,0.23350751598553643,0.23350751598553643,0.23350751598553643,0.23350751598553643,0.23350751598553643,0.23350751598553643,0.0,0.0,0.0,159.830625383535
55,2024-04-09,159.92603070273225,153.66587084885145,165.7519512540036,159.92603070273225,159.92603070273225,-0.2107188651936224,-0.2107188651936224,-0.2107188651936224,-0.2107188651936224,-0.2107188651936224,-0.2107188651936224,0.0,0.0,0.0,159.71531183753862
56,2024-04-10,160.18778770161367,153.98941925896142,165.40640127285639,160.18778770161367,160.18778770161367,-0.5567098169758626,-0.5567098169758626,-0.5567098169758626,-0.5567098169758626,-0.5567098169758626,-0.5567098169758626,0.0,0.0,0.0,159.63107788463782
57,2024-04-12,160.71130169937655,155.06450408898672,166.75957113467732,160.71130169937655,160.71130169937655,0.08475579026498008,0.08475579026498008,0.08475579026498008,0.08475579026498008,0.08475579026498008,0.08475579026498008,0.0,0.0,0.0,160.79605748964153
58,2024-04-15,161.49657269602085,155.94924609766187,167.52123072278195,161.49657269602085,161.49657269602085,0.2335075159894885,0.2335075159894885,0.2335075159894885,0.2335075159894885,0.2335075159894885,0.2335075159894885,0.0,0.0,0.0,161.73008021201034
59,2024-04-16,161.75832969490227,156.08617035277175,167.4204408872293,161.75832969490227,161.75832969490227,-0.21071886519218722,-0.21071886519218722,-0.21071886519218722,-0.21071886519218722,-0.21071886519218722,-0.21071886519218722,0.0,0.0,0.0,161.5476108297101
